.smooth,.estimate,.se,name,x_value
s(gam_age_offdiag),26.96367092996073,4.610275818992085,offdiag,0
s(gam_age_offdiag),25.10060577710507,4.424727893767833,offdiag,1.0101010101010102
s(gam_age_offdiag),23.241149114211225,4.240658371161844,offdiag,2.0202020202020203
s(gam_age_offdiag),21.39089146955522,4.0584074854153,offdiag,3.0303030303030303
s(gam_age_offdiag),19.5572644720563,3.8783578647260244,offdiag,4.040404040404041
s(gam_age_offdiag),17.748909382882136,3.7008998987801296,offdiag,5.050505050505051
s(gam_age_offdiag),15.97509097492125,3.526404326200735,offdiag,6.0606060606060606
s(gam_age_offdiag),14.245163236520392,3.3552026215175816,offdiag,7.070707070707071
s(gam_age_offdiag),12.568093575642328,3.187575403962752,offdiag,8.080808080808081
s(gam_age_offdiag),10.952051854003667,3.0237486393418656,offdiag,9.090909090909092
s(gam_age_offdiag),9.404069750873422,2.8638969444559352,offdiag,10.101010101010102
s(gam_age_offdiag),7.929774712632647,2.708152916851295,offdiag,11.111111111111112
s(gam_age_offdiag),6.533201162769989,2.5566211723785806,offdiag,12.121212121212121
s(gam_age_offdiag),5.216679809315711,2.4093957208274523,offdiag,13.131313131313131
s(gam_age_offdiag),3.9808038790648843,2.266579448902617,offdiag,14.141414141414142
s(gam_age_offdiag),2.824469019884932,2.1283047742254753,offdiag,15.151515151515152
s(gam_age_offdiag),1.744981534900239,1.9947549160085922,offdiag,16.161616161616163
s(gam_age_offdiag),0.7382276355636453,1.8661856068515126,offdiag,17.171717171717173
s(gam_age_offdiag),-0.20110538870807493,1.7429473365044332,offdiag,18.181818181818183
s(gam_age_offdiag),-1.0792667079854437,1.6255082362031417,offdiag,19.191919191919194
s(gam_age_offdiag),-1.903150001969921,1.5144772922973722,offdiag,20.202020202020204
s(gam_age_offdiag),-2.679984611734844,1.4106264424028347,offdiag,21.212121212121215
s(gam_age_offdiag),-3.4170227221832277,1.314907879939914,offdiag,22.222222222222225
s(gam_age_offdiag),-4.12123537431544,1.2284592219791575,offdiag,23.232323232323235
s(gam_age_offdiag),-4.799029498110082,1.1525842206632746,offdiag,24.242424242424242
s(gam_age_offdiag),-5.455997082624485,1.0886921034006287,offdiag,25.252525252525253
s(gam_age_offdiag),-6.096706092858593,1.0381790315224226,offdiag,26.262626262626263
s(gam_age_offdiag),-6.72454085622297,1.0022479624852882,offdiag,27.272727272727273
s(gam_age_offdiag),-7.341597446910865,0.9816929307774083,offdiag,28.282828282828284
s(gam_age_offdiag),-7.948637181967416,0.9767103995764637,offdiag,29.292929292929294
s(gam_age_offdiag),-8.545098808788039,0.9868146637476313,offdiag,30.303030303030305
s(gam_age_offdiag),-9.129167418860517,1.010900635069474,offdiag,31.313131313131315
s(gam_age_offdiag),-9.697895678778636,1.0474299544382473,offdiag,32.323232323232325
s(gam_age_offdiag),-10.247370736875933,1.0946653952076073,offdiag,33.333333333333336
s(gam_age_offdiag),-10.772918244684352,1.1508776402313194,offdiag,34.343434343434346
s(gam_age_offdiag),-11.269333416388777,1.2144843002037053,offdiag,35.35353535353536
s(gam_age_offdiag),-11.731128008347959,1.2841190401319522,offdiag,36.36363636363637
s(gam_age_offdiag),-12.152781584548473,1.3586490649146588,offdiag,37.37373737373738
s(gam_age_offdiag),-12.528985467543853,1.4371626160581576,offdiag,38.38383838383839
s(gam_age_offdiag),-12.854868356160566,1.518943117311177,offdiag,39.3939393939394
s(gam_age_offdiag),-13.126193691872817,1.6034400080368394,offdiag,40.40404040404041
s(gam_age_offdiag),-13.339520419784826,1.6902411279334857,offdiag,41.41414141414142
s(gam_age_offdiag),-13.492320738273122,1.7790483124492615,offdiag,42.42424242424243
s(gam_age_offdiag),-13.58305066414927,1.869656219140289,offdiag,43.43434343434344
s(gam_age_offdiag),-13.61117164329267,1.9619337683754459,offdiag,44.44444444444445
s(gam_age_offdiag),-13.577123886573476,2.055807497415382,offdiag,45.45454545454546
s(gam_age_offdiag),-13.482254481510486,2.151246296806192,offdiag,46.46464646464647
s(gam_age_offdiag),-13.328705499748107,2.2482472462400453,offdiag,47.47474747474748
s(gam_age_offdiag),-13.119269178298026,2.3468225033672394,offdiag,48.484848484848484
s(gam_age_offdiag),-12.857218704878438,2.4469873894923557,offdiag,49.494949494949495
s(gam_age_offdiag),-12.546124113230212,2.5487499591995766,offdiag,50.505050505050505
s(gam_age_offdiag),-12.189663247980764,2.652102448164068,offdiag,51.515151515151516
s(gam_age_offdiag),-11.79143767434565,2.75701507341181,offdiag,52.525252525252526
s(gam_age_offdiag),-11.354802799392008,2.8634327091727436,offdiag,53.535353535353536
s(gam_age_offdiag),-10.882720381406395,2.9712749603034654,offdiag,54.54545454545455
s(gam_age_offdiag),-10.377640101277759,3.080440075358796,offdiag,55.55555555555556
s(gam_age_offdiag),-9.841415046328676,3.19081295520871,offdiag,56.56565656565657
s(gam_age_offdiag),-9.275253921375072,3.3022772068600466,offdiag,57.57575757575758
s(gam_age_offdiag),-8.679710673325967,3.414730775925946,offdiag,58.58585858585859
s(gam_age_offdiag),-8.054710117381708,3.5281042029239353,offdiag,59.5959595959596
s(gam_age_offdiag),-7.399606204331666,3.642380050675965,offdiag,60.60606060606061
s(gam_age_offdiag),-6.713267878514378,3.7576116195014087,offdiag,61.61616161616162
s(gam_age_offdiag),-5.994186136708043,3.8739387814541404,offdiag,62.62626262626263
s(gam_age_offdiag),-5.240594979365796,3.991598688862129,offdiag,63.63636363636364
s(gam_age_offdiag),-4.450598490826926,4.110929284587878,offdiag,64.64646464646465
s(gam_age_offdiag),-3.622296309528385,4.232363966947698,offdiag,65.65656565656566
s(gam_age_offdiag),-2.753900238787648,4.356416410197896,offdiag,66.66666666666667
s(gam_age_offdiag),-1.843835661477065,4.483655348009941,offdiag,67.67676767676768
s(gam_age_offdiag),-0.8908226908262389,4.614670004400673,offdiag,68.68686868686869
s(gam_age_offdiag),0.10606647299226962,4.750027706019619,offdiag,69.6969696969697
s(gam_age_offdiag),1.1473758075960394,4.890225940383664,offdiag,70.70707070707071
s(gam_age_offdiag),2.2332594236383865,5.03564166912377,offdiag,71.71717171717172
s(gam_age_offdiag),3.3634995797974363,5.186481031258616,offdiag,72.72727272727273
s(gam_age_offdiag),4.537545591763175,5.3427326836949875,offdiag,73.73737373737374
s(gam_age_offdiag),5.7545691943521335,5.504127957135197,offdiag,74.74747474747475
s(gam_age_offdiag),7.013530977450677,5.670110797922621,offdiag,75.75757575757576
s(gam_age_offdiag),8.313251969027736,5.839820153052401,offdiag,76.76767676767678
s(gam_age_offdiag),9.652484310502212,6.012087046643918,offdiag,77.77777777777779
s(gam_age_offdiag),11.029975262638914,6.185448077240125,offdiag,78.7878787878788
s(gam_age_offdiag),12.44451946830901,6.358176408457445,offdiag,79.7979797979798
s(gam_age_offdiag),13.894995431413097,6.528330507558278,offdiag,80.80808080808082
s(gam_age_offdiag),15.380383477185552,6.693819906866028,offdiag,81.81818181818183
s(gam_age_offdiag),16.899763949759087,6.852486154293306,offdiag,82.82828282828284
s(gam_age_offdiag),18.452295979501653,7.00219594794517,offdiag,83.83838383838385
s(gam_age_offdiag),20.037178712576566,7.140942306786418,offdiag,84.84848484848486
s(gam_age_offdiag),21.653598338519647,7.266948616170679,offdiag,85.85858585858587
s(gam_age_offdiag),23.300665487825686,7.378769600843686,offdiag,86.86868686868688
s(gam_age_offdiag),24.97734852519737,7.475382800486302,offdiag,87.87878787878789
s(gam_age_offdiag),26.682408879881088,7.556264013689094,offdiag,88.8888888888889
s(gam_age_offdiag),28.414344800599913,7.621440471954828,offdiag,89.89898989898991
s(gam_age_offdiag),30.17134979273469,7.671516221165741,offdiag,90.90909090909092
s(gam_age_offdiag),31.951291509288932,7.707665320692809,offdiag,91.91919191919193
s(gam_age_offdiag),33.75171606916691,7.731589998614439,offdiag,92.92929292929294
s(gam_age_offdiag),35.56988173269418,7.745442780775951,offdiag,93.93939393939395
s(gam_age_offdiag),37.402824659362864,7.751713761289127,offdiag,94.94949494949496
s(gam_age_offdiag),39.24745820368025,7.753086467537554,offdiag,95.95959595959597
s(gam_age_offdiag),41.10070597635268,7.752267986287497,offdiag,96.96969696969697
s(gam_age_offdiag),42.959667816237044,7.7518008766672635,offdiag,97.97979797979798
s(gam_age_offdiag),44.82181698632854,7.753865576190215,offdiag,98.98989898989899
s(gam_age_offdiag),46.685226419219,7.7600822250347425,offdiag,100
s(gam_age_offdiag_2),31.545497000448055,3.209782742967718,offdiag_2,0
s(gam_age_offdiag_2),29.467163449275144,2.9981569500108196,offdiag_2,101.01010101010101
s(gam_age_offdiag_2),27.388829840874852,2.7865327368872794,offdiag_2,202.02020202020202
s(gam_age_offdiag_2),25.310496107144196,2.5749103501245783,offdiag_2,303.030303030303
s(gam_age_offdiag_2),23.232162196768474,2.3632901564085342,offdiag_2,404.04040404040404
s(gam_age_offdiag_2),21.153828089447497,2.1516727303387553,offdiag_2,505.0505050505051
s(gam_age_offdiag_2),19.07549380186027,1.9400589783510362,offdiag_2,606.060606060606
s(gam_age_offdiag_2),16.99715938793331,1.7284503377999436,offdiag_2,707.070707070707
s(gam_age_offdiag_2),14.918824934795584,1.5168491289843387,offdiag_2,808.0808080808081
s(gam_age_offdiag_2),12.840490555436535,1.3052592384302781,offdiag_2,909.0909090909091
s(gam_age_offdiag_2),10.762156379137046,1.093687588751226,offdiag_2,1010.1010101010102
s(gam_age_offdiag_2),8.683822540766194,0.8821477241879178,offdiag_2,1111.111111111111
s(gam_age_offdiag_2),6.60548916985128,0.6706701899129728,offdiag_2,1212.121212121212
s(gam_age_offdiag_2),4.527156380534517,0.4593415861434544,offdiag_2,1313.1313131313132
s(gam_age_offdiag_2),2.448824262957316,0.24854265066261985,offdiag_2,1414.141414141414
s(gam_age_offdiag_2),0.3704928768808637,0.04620464053331895,offdiag_2,1515.1515151515152
s(gam_age_offdiag_2),-1.7078377519787586,0.17910584078836117,offdiag_2,1616.1616161616162
s(gam_age_offdiag_2),-3.78616763321191,0.38936538727435194,offdiag_2,1717.171717171717
s(gam_age_offdiag_2),-5.864496809957712,0.600594866867912,offdiag_2,1818.1818181818182
s(gam_age_offdiag_2),-7.9428253547076695,0.8120376259032408,offdiag_2,1919.1919191919192
s(gam_age_offdiag_2),-10.021153363129624,1.0235614506701263,offdiag_2,2020.2020202020203
s(gam_age_offdiag_2),-12.099480946323986,1.2351246961649507,offdiag_2,2121.212121212121
s(gam_age_offdiag_2),-14.177808222132343,1.4467101164427338,offdiag_2,2222.222222222222
s(gam_age_offdiag_2),-16.256135306174027,1.6583093091034307,offdiag_2,2323.2323232323233
s(gam_age_offdiag_2),-18.334462303287772,1.869917713107609,offdiag_2,2424.242424242424
s(gam_age_offdiag_2),-20.412789299954046,2.0815326540152745,offdiag_2,2525.252525252525
s(gam_age_offdiag_2),-22.491116358194336,2.293152469009801,offdiag_2,2626.2626262626263
