lower.age.limit,population
0,3662706.5
5,4139827
10,4216973.5
15,3881855.5
20,4088994.5
25,4504285.5
30,4565689
35,4572286
40,4356888
45,4242921
50,4609902.5
55,4416934.5
60,4013493
65,3503446.5
70,3301219.5
75,2648450
80,1732543
85,1088022.5
90,487642.5
95,128086.5
100,17148.5
