lower.age.limit,population
0,6719759
5,7344333.5
10,7568903
15,7449722
20,8077721.5
25,8951123
30,9534395.5
35,10371063.5
40,10903103.5
45,11054623.5
50,10962657
55,10635358.5
60,9928876.5
65,8905179
70,7562940.5
75,5775410
80,4697886
85,2903508
90,1238562
95,304094.5
100,27857.5
