lower.age.limit,population
0,85368188
5,90257716.5
10,83418947.5
15,79981989.5
20,85069771
25,106762892
30,118229526
35,101054226
40,95328452
45,121853281.5
50,117680040
55,87350505
60,79468822.5
65,69141237
70,43024523
75,28102695.5
80,18639225
85,9299595.5
90,2970865.5
95,486624.5
100,31234
